mes_ref,uf,valor_bolsa_familia,valor_cadunico,valor_extracad,qtd_bolsa_familia,qtd_cadunico,qtd_extracad,total_forca_trabalho,forca_trabalho_descoupada,forca_conta_propria,forca_privado,forca_publico,forca_empregador,forca_domestico,forca_auxiliar
202004,AC,99707400.0,26402400.0,50859600.0,132880,39308,77362,339,49,87,93,67,9,16,17
202004,AL,429446400.0,114874800.0,183459600.0,537794,172346,279262,1112,203,239,382,176,30,55,28
202004,AM,448988400.0,131907600.0,264045600.0,563767,192650,395363,1751,291,463,493,251,39,58,156
202004,AP,87770400.0,34339800.0,62690400.0,101577,47748,93259,343,39,112,90,75,8,13,5
202004,BA,1928405400.0,607157400.0,829182000.0,2511730,922066,1280198,6125,1256,1405,2060,814,182,260,148
202004,CE,1175404200.0,398316000.0,469212000.0,1547334,612299,724153,3601,443,923,1357,507,122,169,80
202004,DF,87089400.0,42867000.0,219717000.0,99890,60731,319567,1552,242,245,642,285,52,78,7
202004,ES,203392200.0,147768000.0,259523400.0,259031,226107,390324,2022,255,441,827,253,95,86,65
202004,GO,315286800.0,257768400.0,507501000.0,369547,380407,756002,3511,456,759,1537,385,148,198,29
202004,MA,1017933000.0,250696800.0,358161600.0,1277318,377581,561286,2376,391,626,765,357,52,114,69
202004,MG,1089543000.0,746652600.0,1236334200.0,1396708,1137536,1887356,10507,1385,2112,4532,1231,450,570,226
202004,MS,129660600.0,128993400.0,162640200.0,155251,191731,239938,1327,155,280,545,188,63,83,14
202004,MT,161812200.0,158419800.0,234375600.0,189332,234311,342931,1779,182,421,755,204,86,105,26
202004,PA,1047931800.0,360557400.0,508345200.0,1316809,537660,778808,3546,330,1028,1178,548,125,149,188
202004,PB,545764800.0,142095000.0,205288800.0,718117,216983,319861,1483,196,437,452,246,55,71,25
202004,PE,1222029600.0,391162800.0,522684000.0,1535879,588969,803289,3593,552,847,1395,489,111,147,52
202004,PI,477511800.0,119708400.0,171492600.0,634488,183211,266674,1213,162,301,386,189,41,77,58
202004,PR,375892800.0,433803000.0,663988800.0,475950,654194,997423,5999,577,1344,2663,726,304,274,112
202004,RJ,978014400.0,424946400.0,1341408000.0,1154037,616242,2001743,8050,1349,1784,3154,1161,235,350,16
202004,RN,392938200.0,144090000.0,197263800.0,513966,221851,296733,1366,209,286,497,251,49,53,21
202004,RO,88742400.0,84738000.0,123958200.0,110801,128057,181586,823,91,225,288,122,21,28,47
202004,RR,54662400.0,26971800.0,40960800.0,69363,38874,59701,229,39,53,62,53,6,12,4
202004,RS,371367600.0,262010400.0,649024800.0,449745,385960,951877,5806,562,1347,2533,681,269,253,162
202004,SC,121572000.0,126084600.0,445587000.0,152434,185852,650589,3813,275,811,1926,399,190,140,71
202004,SE,297143400.0,94925400.0,126175800.0,374231,142814,194697,1006,205,225,345,127,37,50,17
202004,SP,1587055200.0,1277029200.0,2915779200.0,1901100,1865537,4365985,23318,3247,4400,11341,2031,1078,1062,160
202004,TO,124508400.0,83745600.0,85434600.0,159297,128186,130204,691,88,145,225,133,31,52,17
202005,AC,104431200.0,25318200.0,76082400.0,140373,37595,116570,339,49,87,93,67,9,16,17
202005,AL,440046000.0,111381000.0,270951600.0,554025,166814,416281,1112,203,239,382,176,30,55,28
202005,AM,467717400.0,126787200.0,391230600.0,592961,184546,591290,1751,291,463,493,251,39,58,156
202005,AP,90379200.0,33588000.0,89450400.0,105415,46590,134417,343,39,112,90,75,8,13,5
202005,BA,1982465400.0,588940200.0,1212430200.0,2595738,892994,1883163,6125,1256,1405,2060,814,182,260,148
202005,CE,1197768600.0,380915400.0,686655000.0,1581639,585088,1067875,3601,443,923,1357,507,122,169,80
202005,DF,87927600.0,40587600.0,324301200.0,100789,57136,480696,1552,242,245,642,285,52,78,7
202005,ES,206640000.0,143157000.0,410967600.0,263346,218816,627900,2022,255,441,827,253,95,86,65
202005,GO,323901600.0,248680800.0,795237000.0,381570,366166,1203180,3511,456,759,1537,385,148,198,29
202005,MA,1060632600.0,242914800.0,520800600.0,1342904,365137,818367,2376,391,626,765,357,52,114,69
202005,MG,1117621800.0,716789400.0,1922018400.0,1436707,1090420,2967122,10507,1385,2112,4532,1231,450,570,226
202005,MS,132165600.0,122146200.0,256330200.0,158880,181014,383239,1327,155,280,545,188,63,83,14
202005,MT,166518000.0,152754600.0,369312600.0,195784,225450,549372,1779,182,421,755,204,86,105,26
202005,PA,1083770400.0,351349800.0,732537600.0,1373269,523035,1128356,3546,330,1028,1178,548,125,149,188
202005,PB,559050000.0,134796600.0,299437800.0,739014,205714,469483,1483,196,437,452,246,55,71,25
202005,PE,1239574800.0,371574000.0,761630400.0,1564131,558289,1178979,3593,552,847,1395,489,111,147,52
202005,PI,491823000.0,116105400.0,250125000.0,656700,177418,391250,1213,162,301,386,189,41,77,58
202005,PR,383786400.0,417127800.0,1059497400.0,486346,627987,1613860,5999,577,1344,2663,726,304,274,112
202005,RJ,993148800.0,406524000.0,2002125000.0,1175380,587326,3031707,8050,1349,1784,3154,1161,235,350,16
202005,RN,398546400.0,137749200.0,285115200.0,522370,211973,434741,1366,209,286,497,251,49,53,21
202005,RO,90736200.0,81385200.0,191769600.0,113703,122797,285645,823,91,225,288,122,21,28,47
202005,RR,55807200.0,25377600.0,62698800.0,71142,36409,92550,229,39,53,62,53,6,12,4
202005,RS,361144200.0,241675800.0,963955200.0,433990,353852,1435467,5806,562,1347,2533,681,269,253,162
202005,SC,122253000.0,118825800.0,685789800.0,152736,174636,1020377,3813,275,811,1926,399,190,140,71
202005,SE,303489000.0,92547600.0,180313800.0,383878,139049,279648,1006,205,225,345,127,37,50,17
202005,SP,1615336800.0,1226241000.0,4594109400.0,1935730,1785437,6975436,23318,3247,4400,11341,2031,1078,1062,160
202005,TO,128492400.0,79230600.0,127275600.0,165332,121310,195589,691,88,145,225,133,31,52,17
202006,AC,104766000.0,7888800.0,36979200.0,140807,11715,56726,339,49,87,93,67,9,16,17
202006,AL,440917800.0,35061000.0,122685600.0,554880,52594,188490,1112,203,239,382,176,30,55,28
202006,AM,469507200.0,39821400.0,199837800.0,595307,57949,302358,1751,291,463,493,251,39,58,156
202006,AP,90505800.0,10369800.0,42534000.0,105549,14399,63966,343,39,112,90,75,8,13,5
202006,BA,1984627800.0,189569400.0,563773200.0,2597951,287486,874248,6125,1256,1405,2060,814,182,260,148
202006,CE,1198966200.0,122698800.0,316888200.0,1582917,188442,492918,3601,443,923,1357,507,122,169,80
202006,DF,88202400.0,12682200.0,164871000.0,101072,17901,245758,1552,242,245,642,285,52,78,7
202006,ES,206826600.0,45845400.0,218099400.0,263513,70001,335179,2022,255,441,827,253,95,86,65
202006,GO,324394800.0,74848800.0,398845200.0,382040,110063,605510,3511,456,759,1537,385,148,198,29
202006,MA,1062220200.0,69481800.0,224892600.0,1344514,104544,353275,2376,391,626,765,357,52,114,69
202006,MG,1118393400.0,225562800.0,983842800.0,1437301,343178,1523176,10507,1385,2112,4532,1231,450,570,226
202006,MS,132945000.0,38986800.0,133501800.0,159796,57712,200412,1327,155,280,545,188,63,83,14
202006,MT,167102400.0,47516400.0,185146200.0,196359,69983,276372,1779,182,421,755,204,86,105,26
202006,PA,1085665200.0,107502600.0,343984800.0,1375419,160092,529915,3546,330,1028,1178,548,125,149,188
202006,PB,559593600.0,42651000.0,138472200.0,739564,65061,217060,1483,196,437,452,246,55,71,25
202006,PE,1240916400.0,118513200.0,355451400.0,1565550,178345,549922,3593,552,847,1395,489,111,147,52
202006,PI,492470400.0,36342600.0,114571200.0,657447,55610,178941,1213,162,301,386,189,41,77,58
202006,PR,384610200.0,130071600.0,555356400.0,487288,195898,850138,5999,577,1344,2663,726,304,274,112
202006,RJ,996622800.0,132397800.0,1029660600.0,1179214,191057,1566140,8050,1349,1784,3154,1161,235,350,16
202006,RN,399190800.0,44122200.0,132908400.0,523175,67917,203094,1366,209,286,497,251,49,53,21
202006,RO,91026600.0,25174800.0,97844400.0,114043,37955,146685,823,91,225,288,122,21,28,47
202006,RR,56108400.0,7747800.0,34746000.0,71530,11141,51574,229,39,53,62,53,6,12,4
202006,RS,362673000.0,76217400.0,505378200.0,435876,111640,758971,5806,562,1347,2533,681,269,253,162
202006,SC,122535600.0,37164600.0,361965600.0,153051,54702,542859,3813,275,811,1926,399,190,140,71
202006,SE,303901800.0,29270400.0,81582600.0,384273,44015,126250,1006,205,225,345,127,37,50,17
202006,SP,1617167400.0,393096000.0,2364760200.0,1937308,572262,3601915,23318,3247,4400,11341,2031,1078,1062,160
202006,TO,128770800.0,22819200.0,57412800.0,165642,34949,88000,691,88,145,225,133,31,52,17
202007,AC,104402400.0,24691800.0,81500400.0,140444,36662,124701,334,58,81,92,74,8,11,11
202007,AL,440793600.0,110665200.0,284550000.0,555049,165773,436446,1124,228,232,379,179,22,52,31
202007,AM,468370200.0,123634200.0,431610000.0,594214,179698,652091,1839,310,508,513,257,33,59,159
202007,AP,90600600.0,33207000.0,97725000.0,105710,46074,146578,353,54,107,91,80,6,10,5
202007,BA,1971532800.0,573756000.0,1274056800.0,2582209,870258,1975832,6246,1321,1416,2140,750,175,249,195
202007,CE,1193693400.0,371486400.0,714193200.0,1576743,570526,1109694,3612,515,922,1345,443,111,178,99
202007,DF,88061400.0,40176000.0,352549800.0,100981,56522,523493,1581,248,273,608,319,58,67,8
202007,ES,206327400.0,140636400.0,446274600.0,263067,214946,682350,2086,296,477,819,239,81,87,89
202007,GO,322652400.0,240714000.0,851095800.0,380406,354152,1287960,3541,479,776,1514,413,146,192,22
202007,MA,1033197600.0,229561800.0,535276800.0,1309522,345480,840225,2410,417,664,752,343,56,121,55
202007,MG,1114752600.0,707818800.0,2070539400.0,1433580,1077373,3196741,10605,1443,2177,4557,1191,430,578,228
202007,MS,132504000.0,120041400.0,278088000.0,159440,177863,415913,1329,157,266,555,184,68,86,13
202007,MT,167106600.0,151602000.0,395446200.0,196528,223706,588285,1780,181,438,754,209,72,92,34
202007,PA,1087339800.0,350195400.0,794736000.0,1378090,521296,1222032,3706,413,1041,1258,469,126,189,211
