mes_disp,uf,enquadramento,sum,count
202004,AC,BOLSA FAMILIA,99707400.0,132880
202004,AC,CADUNICO,26402400.0,39308
202004,AC,EXTRACAD,50859600.0,77362
202004,AL,BOLSA FAMILIA,429446400.0,537794
202004,AL,CADUNICO,114874800.0,172346
202004,AL,EXTRACAD,183459600.0,279262
202004,AM,BOLSA FAMILIA,448988400.0,563767
202004,AM,CADUNICO,131907600.0,192650
202004,AM,EXTRACAD,264045600.0,395363
202004,AP,BOLSA FAMILIA,87770400.0,101577
202004,AP,CADUNICO,34339800.0,47748
202004,AP,EXTRACAD,62690400.0,93259
202004,BA,BOLSA FAMILIA,1928405400.0,2511730
202004,BA,CADUNICO,607157400.0,922066
202004,BA,EXTRACAD,829182000.0,1280198
202004,CE,BOLSA FAMILIA,1175404200.0,1547334
202004,CE,CADUNICO,398316000.0,612299
202004,CE,EXTRACAD,469212000.0,724153
202004,DF,BOLSA FAMILIA,87089400.0,99890
202004,DF,CADUNICO,42867000.0,60731
202004,DF,EXTRACAD,219717000.0,319567
202004,ES,BOLSA FAMILIA,203392200.0,259031
202004,ES,CADUNICO,147768000.0,226107
202004,ES,EXTRACAD,259523400.0,390324
202004,GO,BOLSA FAMILIA,315286800.0,369547
202004,GO,CADUNICO,257768400.0,380407
202004,GO,EXTRACAD,507501000.0,756002
202004,MA,BOLSA FAMILIA,1017933000.0,1277318
202004,MA,CADUNICO,250696800.0,377581
202004,MA,EXTRACAD,358161600.0,561286
202004,MG,BOLSA FAMILIA,1089543000.0,1396708
202004,MG,CADUNICO,746652600.0,1137536
202004,MG,EXTRACAD,1236334200.0,1887356
202004,MS,BOLSA FAMILIA,129660600.0,155251
202004,MS,CADUNICO,128993400.0,191731
202004,MS,EXTRACAD,162640200.0,239938
202004,MT,BOLSA FAMILIA,161812200.0,189332
202004,MT,CADUNICO,158419800.0,234311
202004,MT,EXTRACAD,234375600.0,342931
202004,PA,BOLSA FAMILIA,1047931800.0,1316809
202004,PA,CADUNICO,360557400.0,537660
202004,PA,EXTRACAD,508345200.0,778808
202004,PB,BOLSA FAMILIA,545764800.0,718117
202004,PB,CADUNICO,142095000.0,216983
202004,PB,EXTRACAD,205288800.0,319861
202004,PE,BOLSA FAMILIA,1222029600.0,1535879
202004,PE,CADUNICO,391162800.0,588969
202004,PE,EXTRACAD,522684000.0,803289
202004,PI,BOLSA FAMILIA,477511800.0,634488
202004,PI,CADUNICO,119708400.0,183211
202004,PI,EXTRACAD,171492600.0,266674
202004,PR,BOLSA FAMILIA,375892800.0,475950
202004,PR,CADUNICO,433803000.0,654194
202004,PR,EXTRACAD,663988800.0,997423
202004,RJ,BOLSA FAMILIA,978014400.0,1154037
202004,RJ,CADUNICO,424946400.0,616242
202004,RJ,EXTRACAD,1341408000.0,2001743
202004,RN,BOLSA FAMILIA,392938200.0,513966
202004,RN,CADUNICO,144090000.0,221851
202004,RN,EXTRACAD,197263800.0,296733
202004,RO,BOLSA FAMILIA,88742400.0,110801
202004,RO,CADUNICO,84738000.0,128057
202004,RO,EXTRACAD,123958200.0,181586
202004,RR,BOLSA FAMILIA,54662400.0,69363
202004,RR,CADUNICO,26971800.0,38874
202004,RR,EXTRACAD,40960800.0,59701
202004,RS,BOLSA FAMILIA,371367600.0,449745
202004,RS,CADUNICO,262010400.0,385960
202004,RS,EXTRACAD,649024800.0,951877
202004,SC,BOLSA FAMILIA,121572000.0,152434
202004,SC,CADUNICO,126084600.0,185852
202004,SC,EXTRACAD,445587000.0,650589
202004,SE,BOLSA FAMILIA,297143400.0,374231
202004,SE,CADUNICO,94925400.0,142814
202004,SE,EXTRACAD,126175800.0,194697
202004,SP,BOLSA FAMILIA,1587055200.0,1901100
202004,SP,CADUNICO,1277029200.0,1865537
202004,SP,EXTRACAD,2915779200.0,4365985
202004,TO,BOLSA FAMILIA,124508400.0,159297
202004,TO,CADUNICO,83745600.0,128186
202004,TO,EXTRACAD,85434600.0,130204
202005,AC,BOLSA FAMILIA,104431200.0,140373
202005,AC,CADUNICO,25318200.0,37595
202005,AC,EXTRACAD,76082400.0,116570
202005,AL,BOLSA FAMILIA,440046000.0,554025
202005,AL,CADUNICO,111381000.0,166814
202005,AL,EXTRACAD,270951600.0,416281
202005,AM,BOLSA FAMILIA,467717400.0,592961
202005,AM,CADUNICO,126787200.0,184546
202005,AM,EXTRACAD,391230600.0,591290
202005,AP,BOLSA FAMILIA,90379200.0,105415
